date,isin,fund,operation,amount_eur
2025-02-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2025-02-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2025-01-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2025-01-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2024-12-30,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2024-12-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2024-11-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2024-11-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2024-10-29,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2024-10-29,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2024-09-30,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2024-09-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2024-08-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2024-08-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2024-07-30,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2024-07-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2024-06-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2024-06-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2024-05-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2024-05-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2024-04-30,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2024-04-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2024-03-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2024-03-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2024-02-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2024-02-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2024-01-30,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2024-01-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2023-12-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2023-12-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2023-12-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2023-11-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2023-11-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2023-11-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2023-10-30,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2023-10-30,LU0823425839,BNP Paribas China Equity,buy,50.00
2023-10-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2023-09-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2023-09-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2023-09-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2023-08-29,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2023-08-29,LU0823425839,BNP Paribas China Equity,buy,50.00
2023-08-29,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2023-07-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2023-07-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2023-07-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2023-06-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2023-06-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2023-06-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2023-05-30,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2023-05-30,LU0823425839,BNP Paribas China Equity,buy,50.00
2023-05-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2023-04-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2023-04-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2023-04-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2023-03-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2023-03-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2023-03-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2023-02-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2023-02-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2023-02-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2023-01-30,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2023-01-30,LU0823425839,BNP Paribas China Equity,buy,50.00
2023-01-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2022-12-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2022-12-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2022-12-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2022-11-29,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2022-11-29,LU0823425839,BNP Paribas China Equity,buy,50.00
2022-11-29,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2022-10-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2022-10-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2022-10-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2022-09-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2022-09-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2022-09-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2022-08-31,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2022-08-31,LU0823425839,BNP Paribas China Equity,buy,50.00
2022-08-31,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2022-07-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2022-07-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2022-07-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2022-06-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2022-06-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2022-06-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2022-05-30,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2022-05-30,LU0823425839,BNP Paribas China Equity,buy,50.00
2022-05-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2022-04-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2022-04-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2022-04-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2022-03-29,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2022-03-29,LU0823425839,BNP Paribas China Equity,buy,50.00
2022-03-29,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2022-03-01,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2022-03-01,LU0823425839,BNP Paribas China Equity,buy,50.00
2022-03-01,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2022-01-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2022-01-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2022-01-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2021-12-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2021-12-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2021-12-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2021-11-30,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2021-11-30,LU0823425839,BNP Paribas China Equity,buy,50.00
2021-11-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2021-10-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2021-10-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2021-10-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2021-09-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2021-09-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2021-09-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2021-08-30,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2021-08-30,LU0823425839,BNP Paribas China Equity,buy,50.00
2021-08-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2021-07-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2021-07-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2021-07-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2021-06-29,LU0823421689,BNP Paribas Disruptive Technology,buy,60.00
2021-06-29,LU0823425839,BNP Paribas China Equity,buy,60.00
2021-06-29,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,60.00
2021-05-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2021-05-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2021-05-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2021-04-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2021-04-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2021-04-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2021-03-30,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2021-03-30,LU0823425839,BNP Paribas China Equity,buy,50.00
2021-03-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2021-03-02,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2021-03-02,LU0823425839,BNP Paribas China Equity,buy,50.00
2021-03-02,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2021-01-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2021-01-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2021-01-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2020-12-29,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2020-12-29,LU0823425839,BNP Paribas China Equity,buy,50.00
2020-12-29,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2020-11-30,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2020-11-30,LU0823425839,BNP Paribas China Equity,buy,50.00
2020-11-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2020-10-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2020-10-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2020-10-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2020-09-29,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2020-09-29,LU0823425839,BNP Paribas China Equity,buy,50.00
2020-09-29,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2020-08-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2020-08-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2020-08-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
